timestamp (seconds since 01/01/1970), system, entity , value (°c)
1516839963.661, lauv-xplore-1, Depth Sensor, 10.348
1516839963.761, lauv-xplore-1, Depth Sensor, 10.348
1516839963.809, lauv-xplore-1, Power Supply, 14.000
1516839963.811, lauv-xplore-1, Water Quality Sensor, 14.067
1516839963.861, lauv-xplore-1, Depth Sensor, 10.348
1516839963.961, lauv-xplore-1, Depth Sensor, 10.348
1516839963.974, lauv-xplore-1, Mainboard (Core), 25.500
1516839963.974, lauv-xplore-1, Mainboard (SuperIO), 23.375
1516839963.974, lauv-xplore-1, Mainboard (Board), 22.000
1516839964.009, lauv-xplore-1, Power Supply, 14.000
1516839964.061, lauv-xplore-1, Depth Sensor, 10.348
1516839964.123, lauv-xplore-1, Power Supply, 14.000
1516839964.130, lauv-xplore-1, Power Supply, 14.000
1516839964.162, lauv-xplore-1, Depth Sensor, 10.348
1516839964.210, lauv-xplore-1, Power Supply, 14.000
1516839964.261, lauv-xplore-1, Depth Sensor, 10.348
1516839964.362, lauv-xplore-1, Depth Sensor, 10.348
1516839964.410, lauv-xplore-1, Power Supply, 14.000
1516839964.462, lauv-xplore-1, Depth Sensor, 10.348
1516839964.561, lauv-xplore-1, Depth Sensor, 10.348
1516839964.661, lauv-xplore-1, Depth Sensor, 10.414
1516839964.761, lauv-xplore-1, Depth Sensor, 10.414
1516839964.811, lauv-xplore-1, Water Quality Sensor, 14.056
1516839964.861, lauv-xplore-1, Depth Sensor, 10.414
1516839964.910, lauv-xplore-1, Power Supply, 14.000
1516839964.961, lauv-xplore-1, Depth Sensor, 10.414
1516839964.973, lauv-xplore-1, Mainboard (Core), 25.500
1516839964.974, lauv-xplore-1, Mainboard (SuperIO), 23.375
1516839964.974, lauv-xplore-1, Mainboard (Board), 22.000
1516839965.061, lauv-xplore-1, Depth Sensor, 10.414
1516839965.109, lauv-xplore-1, Power Supply, 14.000
1516839965.156, lauv-xplore-1, Power Supply, 14.000
1516839965.161, lauv-xplore-1, Depth Sensor, 10.414
1516839965.163, lauv-xplore-1, Power Supply, 14.000
1516839965.240, lauv-xplore-1, Motor Controller (MCU), 23.000
1516839965.240, lauv-xplore-1, Motor Controller (Bridge), 12.000
1516839965.240, lauv-xplore-1, Motor, 10.000
1516839965.261, lauv-xplore-1, Depth Sensor, 10.414
1516839965.310, lauv-xplore-1, Power Supply, 14.500
1516839965.362, lauv-xplore-1, Depth Sensor, 10.414
1516839965.462, lauv-xplore-1, Depth Sensor, 10.414
1516839965.509, lauv-xplore-1, Power Supply, 14.000
1516839965.562, lauv-xplore-1, Depth Sensor, 10.414
1516839965.661, lauv-xplore-1, Depth Sensor, 10.398
1516839965.709, lauv-xplore-1, Power Supply, 14.000
1516839965.761, lauv-xplore-1, Depth Sensor, 10.398
1516839965.811, lauv-xplore-1, Water Quality Sensor, 14.053
1516839965.861, lauv-xplore-1, Depth Sensor, 10.398
1516839965.961, lauv-xplore-1, Depth Sensor, 10.398
1516839965.974, lauv-xplore-1, Mainboard (Core), 25.562
1516839965.974, lauv-xplore-1, Mainboard (SuperIO), 23.312
1516839965.974, lauv-xplore-1, Mainboard (Board), 21.500
1516839966.061, lauv-xplore-1, Depth Sensor, 10.398
1516839966.161, lauv-xplore-1, Depth Sensor, 10.398
1516839966.189, lauv-xplore-1, Power Supply, 14.000
1516839966.217, lauv-xplore-1, Power Supply, 14.000
1516839966.261, lauv-xplore-1, Depth Sensor, 10.398
1516839966.361, lauv-xplore-1, Depth Sensor, 10.398
1516839966.411, lauv-xplore-1, Power Supply, 14.000
1516839966.461, lauv-xplore-1, Depth Sensor, 10.398
1516839966.562, lauv-xplore-1, Depth Sensor, 10.398
1516839966.611, lauv-xplore-1, Power Supply, 14.000
1516839966.661, lauv-xplore-1, Depth Sensor, 10.414
1516839966.761, lauv-xplore-1, Depth Sensor, 10.414
1516839966.810, lauv-xplore-1, Power Supply, 14.000
1516839966.811, lauv-xplore-1, Water Quality Sensor, 14.049
1516839966.861, lauv-xplore-1, Depth Sensor, 10.414
1516839966.961, lauv-xplore-1, Depth Sensor, 10.414
